# Relatório de malha — Lotus Elise 111S

Objetos de malha: 130

| Objeto | Vértices | Faces | Quads | Tris | N-gons | Non-manifold | Borda |
| GEO_Wheel_FR_BrakeCaliper | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Wheel_FR_BrakeDisc | 64 | 62 | 62 | 0 | 0 | 0 | 0 |
| GEO_Wheel_FR_CenterCap | 480 | 498 | 458 | 40 | 0 | 0 | 0 |
| GEO_Wheel_FR_Hub | 576 | 598 | 550 | 48 | 0 | 0 | 0 |
| GEO_Wheel_FR_Rim_Barrel | 176 | 176 | 176 | 0 | 0 | 0 | 0 |
| GEO_Wheel_FR_Rim_Dish | 176 | 176 | 176 | 0 | 0 | 0 | 0 |
| GEO_Wheel_FR_Spoke_1 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Wheel_FR_Spoke_2 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Wheel_FR_Spoke_3 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Wheel_FR_Spoke_4 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Wheel_FR_Spoke_5 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Wheel_FR_Spoke_6 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Wheel_FR_Tire | 720 | 720 | 720 | 0 | 0 | 0 | 0 |
| GEO_Wheel_RL_BrakeCaliper | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Wheel_RL_BrakeDisc | 64 | 62 | 62 | 0 | 0 | 0 | 0 |
| GEO_Wheel_RL_CenterCap | 480 | 498 | 458 | 40 | 0 | 0 | 0 |
| GEO_Wheel_RL_Hub | 576 | 598 | 550 | 48 | 0 | 0 | 0 |
| GEO_Wheel_RL_Rim_Barrel | 176 | 176 | 176 | 0 | 0 | 0 | 0 |
| GEO_Wheel_RL_Rim_Dish | 176 | 176 | 176 | 0 | 0 | 0 | 0 |
| GEO_Wheel_RL_Spoke_1 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Wheel_RL_Spoke_2 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Wheel_RL_Spoke_3 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Wheel_RL_Spoke_4 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Wheel_RL_Spoke_5 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Wheel_RL_Spoke_6 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Wheel_RL_Tire | 720 | 720 | 720 | 0 | 0 | 0 | 0 |
| GEO_Wheel_RR_BrakeCaliper | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Wheel_RR_BrakeDisc | 64 | 62 | 62 | 0 | 0 | 0 | 0 |
| GEO_Wheel_RR_CenterCap | 480 | 498 | 458 | 40 | 0 | 0 | 0 |
| GEO_Wheel_RR_Hub | 576 | 598 | 550 | 48 | 0 | 0 | 0 |
| GEO_Wheel_RR_Rim_Barrel | 176 | 176 | 176 | 0 | 0 | 0 | 0 |
| GEO_Wheel_RR_Rim_Dish | 176 | 176 | 176 | 0 | 0 | 0 | 0 |
| GEO_Wheel_RR_Spoke_1 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Wheel_RR_Spoke_2 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Wheel_RR_Spoke_3 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Wheel_RR_Spoke_4 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Wheel_RR_Spoke_5 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Wheel_RR_Spoke_6 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Wheel_RR_Tire | 720 | 720 | 720 | 0 | 0 | 0 | 0 |

## Totais (malha base, sem subdivisão)

- Faces: 32600 (quads 29240, tris 3360, n-gons 0)
- Arestas non-manifold: 0
- Arestas de borda: 1776

## Envelope

- Comprimento (X): 3.732 m (alvo 3.726)
- Largura (Y): 1.718 m (alvo 1.718)
- Altura (Z): 1.117 m (alvo 1.117)
- Solo (Z mín): 0.0000 m
- Centro Y: 0.0000 m

## N-gons por objeto

- nenhum
